Matrix Size,CPU execution time(ms),GPU execution time(ms)
100,3.00,0.04
100,3.00,0.00
100,3.00,0.00
100,3.00,0.00
100,3.00,0.00
100,3.00,0.01
100,2.00,0.01
100,3.00,0.00
100,3.00,0.00
100,2.00,0.00
250,41.00,0.00
250,41.00,0.00
250,41.00,0.00
250,41.00,0.00
250,41.00,0.00
250,41.00,0.00
250,42.00,0.00
250,41.00,0.00
250,41.00,0.00
250,41.00,0.01
500,329.00,0.02
500,329.00,0.01
500,330.00,0.00
500,330.00,0.01
500,332.00,0.01
500,329.00,0.00
500,330.00,0.00
500,329.00,0.01
500,329.00,0.00
500,329.00,0.01
1000,2648.00,0.01
1000,2649.00,0.01
1000,2651.00,0.04
1000,2668.00,0.01
1000,2666.00,0.01
1000,2704.00,0.01
1000,2669.00,0.05
1000,2648.00,0.01
1000,2656.00,0.01
1000,2685.00,0.01
1500,9171.00,0.01
1500,9250.00,0.04
1500,9096.00,0.01
1500,9012.00,0.01
1500,9167.00,0.04
1500,9200.00,0.01
1500,9198.00,0.01
1500,9612.00,0.03
1500,9055.00,0.02
1500,9216.00,0.01
